Date,Gold_Close,High_Gold,Low_Gold,Gold_Open,Volume_Gold,USD_Close,High_USD,Low_USD,USD_Open,Volume_USD,Gold_Price_Change,USD_Price_Change,Price_Trend,Volatility_Level,Market_Phase,Volume_Category,Year,Month,Gold_Rolling_Std
2020-01-02,1524.5,1528.699951171875,1518.0,1518.0999755859375,0.000214,71.02500153,71.40550231933594,71.02500153,71.02500153,0.0,10.699951171875,0.3805007893359402,Bullish,Low,Pre-COVID,Normal,2020,1,
2020-01-03,1549.199951171875,1552.699951171875,1530.0999755859375,1530.0999755859375,0.000107,71.41500091552734,71.99500274658203,71.22979736328125,71.41500091552734,0.0,22.5999755859375,0.7652053833007812,Bullish,Medium,Pre-COVID,Light,2020,1,
2020-01-06,1566.199951171875,1580.0,1560.4000244140625,1580.0,0.000416,71.73100280761719,72.19000244140625,71.70300293,71.72000122070312,0.0,19.5999755859375,0.4869995114062533,Bearish,Medium,Pre-COVID,Normal,2020,1,
2020-01-07,1571.800048828125,1576.300048828125,1558.300048828125,1558.300048828125,4.7e-05,71.78700256347656,72.03260040283203,71.66899871826172,72.01999664,0.0,18.0,0.3636016845703125,Bullish,Medium,Pre-COVID,Light,2020,1,
2020-01-08,1557.4000244140625,1604.199951171875,1552.300048828125,1579.699951171875,0.000236,72.16000366210938,72.5,71.34449768066406,72.16000366210938,0.0,51.89990234375,1.1555023193359375,Bearish,High,Pre-COVID,Normal,2020,1,
2020-01-09,1551.699951171875,1555.699951171875,1543.300048828125,1555.699951171875,5.4e-05,71.41190338134766,71.62999725341797,71.10199737548828,71.62999725341797,0.0,12.39990234375,0.5279998779296875,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-10,1557.5,1558.800048828125,1545.4000244140625,1551.199951171875,1.6e-05,71.19429779052734,71.39250183105469,70.82900238,71.39250183105469,0.0,13.4000244140625,0.5634994510546818,Bullish,Low,Pre-COVID,Light,2020,1,
2020-01-13,1548.4000244140625,1558.0,1548.4000244140625,1557.4000244140625,4.8e-05,70.95300293,70.98999786376953,70.64800262451172,70.95300293,0.0,9.5999755859375,0.3419952392578125,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-14,1542.4000244140625,1546.699951171875,1534.9000244140625,1546.699951171875,3.2e-05,70.71890258789062,70.95249938964844,70.60649871826172,70.71890258789062,0.0,11.7999267578125,0.34600067138671875,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-15,1552.0999755859375,1553.9000244140625,1545.5999755859375,1548.0,1.1e-05,70.84510040283203,71.10500336,70.66000366210938,71.10500336,0.0,8.300048828125,0.44499969789062277,Bullish,Low,Pre-COVID,Light,2020,1,
2020-01-16,1549.0,1556.0999755859375,1548.5,1555.699951171875,9.8e-05,70.71800231933594,71.09999847,70.66149902,70.93250274658203,0.0,7.5999755859375,0.438499450000009,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-17,1558.800048828125,1558.800048828125,1553.5999755859375,1554.0999755859375,0.000108,70.94560241699219,71.16249847,70.83599853515625,71.16249847,0.0,5.2000732421875,0.3264999348437527,Bullish,Low,Pre-COVID,Light,2020,1,
2020-01-21,1556.4000244140625,1566.199951171875,1551.0,1559.300048828125,4.5e-05,71.03099822998047,71.37000274658203,71.02999877929688,71.24250030517578,0.0,15.199951171875,0.34000396728515625,Bearish,Medium,Pre-COVID,Light,2020,1,
2020-01-22,1555.300048828125,1557.0999755859375,1549.800048828125,1549.800048828125,4.2e-05,71.16999816894531,71.41500091552734,71.06649780273438,71.20400238,0.0,7.2999267578125,0.34850311279296875,Bullish,Low,Pre-COVID,Light,2020,1,
2020-01-23,1564.5999755859375,1564.5999755859375,1552.199951171875,1553.0999755859375,1.5e-05,71.07810211,71.45249938964844,71.06999969482422,71.06999969482422,0.0,12.4000244140625,0.38249969482421875,Bullish,Low,Pre-COVID,Light,2020,1,
2020-01-24,1571.0999755859375,1571.0999755859375,1556.300048828125,1556.300048828125,4.3e-05,71.32099914550781,71.51000213623047,71.20850372314453,71.32219696044922,0.0,14.7999267578125,0.3014984130859375,Bullish,Medium,Pre-COVID,Light,2020,1,
2020-01-27,1576.800048828125,1584.5,1576.800048828125,1584.300048828125,2.2e-05,71.32499694824219,71.63500213623047,71.31999969482422,71.31999969482422,0.0,7.699951171875,0.31500244140625,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-28,1569.199951171875,1576.4000244140625,1569.199951171875,1576.4000244140625,3e-06,71.44000244140625,71.65499877929688,71.1780014,71.65499877929688,0.0,7.2000732421875,0.4769973792968756,Bearish,Low,Pre-COVID,Light,2020,1,
2020-01-29,1569.800048828125,1569.800048828125,1569.800048828125,1569.800048828125,0.251274,71.23040008544922,71.42500305175781,71.16850280761719,71.23010254,0.0,0.0,0.256500244140625,Neutral,Low,Pre-COVID,Heavy,2020,1,
2020-01-30,1583.5,1585.0,1571.4000244140625,1576.800048828125,0.062336,71.30000305175781,71.71199798583984,71.30000305175781,71.30000305175781,0.0,13.5999755859375,0.41199493408203125,Bullish,Medium,Pre-COVID,Heavy,2020,1,
2020-01-31,1582.9000244140625,1589.0,1570.0,1573.4000244140625,0.001095,71.63999938964844,71.63999938964844,71.27749633789062,71.63999938964844,0.0,19.0,0.3625030517578125,Bullish,Medium,Pre-COVID,Heavy,2020,1,
2020-02-03,1577.199951171875,1593.300048828125,1568.199951171875,1592.9000244140625,0.001062,71.49649810791016,71.69999694824219,71.26550293,71.54499816894531,0.0,25.10009765625,0.4344940182421908,Bearish,Medium,Pre-COVID,Heavy,2020,2,
2020-02-04,1550.4000244140625,1577.699951171875,1547.800048828125,1577.699951171875,0.000978,71.31410217285156,71.51499938964844,71.08499908447266,71.31410217285156,0.0,29.89990234375,0.43000030517578125,Bearish,High,Pre-COVID,Heavy,2020,2,
2020-02-05,1557.800048828125,1560.699951171875,1547.699951171875,1553.199951171875,0.001305,71.09999847,71.27999877929688,71.09989929199219,71.10040283203125,0.0,13.0,0.1800994873046875,Bullish,Low,Pre-COVID,Heavy,2020,2,
2020-02-06,1565.0999755859375,1565.5999755859375,1551.5999755859375,1553.5999755859375,0.00011,71.18000030517578,71.39749908447266,71.12100219726562,71.18099975585938,0.0,14.0,0.27649688720703125,Bullish,Medium,Pre-COVID,Light,2020,2,
2020-02-07,1568.5999755859375,1571.9000244140625,1560.5,1564.9000244140625,0.000431,71.47000122070312,71.57099914550781,71.17749786376953,71.47000122070312,0.0,11.4000244140625,0.39350128173828125,Bullish,Low,Pre-COVID,Normal,2020,2,
